data,ipca_monitor_0,var_ipc_fipe,ipca_monitor_11,ipca_focus,ipca_monitor_1,consu_energia_residencia_log_1_diff_lag2,var_ipc_br,var_ipca_15,ipca_monitor_5,BRL_USD_log_1_diff_lag4,var_livres_bacen_lag1,consu_energia_comercial_log_1_diff_lag1,U_S__Treasury_10_years_nominal_yield_1_diff,consu_energia_outros_log_1_diff_lag4,caged_saldo_nordeste_1_diff_lag1,PNAD_DESOC_2_diff_lag1,consume_confidence_1_diff_lag3,U_S__Treasury_10_years_nominal_yield_1_diff_lag2,consu_energia_brasil_total_log_1_diff_lag1,consu_energia_brasil_total_log_1_diff_lag3,BRL_USD_log_1_diff_lag3,PNAD_DESOC_2_diff_lag3,DXY_log_1_diff_lag4,NOAA_Index_1_diff,BRL_USD_log_1_diff,consu_energia_outros_log_1_diff_lag3,PNAD_DESOC_2_diff_lag4,caged_saldo_nordeste_1_diff_lag3,caged_saldo_nordeste_1_diff_lag2,var_livres_bacen_lag4,var_ipca_bacen
2013-08-01,0.24,0.22,-0.34,0.25,0.01,-0.014753882,0.2,0.16,-0.06,0.009062779,0.12,-0.021611693,0.2077,-0.014261111,-10556,-0.1,-9.65,0.3575,0.001858589,-0.008026121,0.017923178,-0.2,-0.000957722,0.1,0.041572988,-0.001402279,-0.2,3723,18466,0.59,0.24
2013-09-01,0.35,0.25,-0.03,0.35,0.14,-0.006960354,0.3,0.27,0.44,0.017923178,0.29,0.022521059,-0.1739,-0.001402279,23129,-0.2,-0.93,0.0905,0.023981965,-0.018875687,0.064704045,-0.2,0.009405389,0.0,-0.034418678,-0.01520001,-0.2,18466,-10556,0.39,0.35
2013-10-01,0.57,0.48,1.07,0.57,1.03,0.025417583,0.55,0.48,0.17,0.064704045,0.41,0.023801737,-0.0558,-0.01520001,45028,-0.2,-8.31,0.2077,-0.002281626,0.001858589,0.03455474,-0.1,-0.017454069,0.1,-0.033981558,0.020448447,-0.2,-10556,23129,0.22,0.57
2013-11-01,0.54,0.46,0.41,0.63,0.56,-0.002824998,0.68,0.57,0.36,0.03455474,0.7,0.044979023,0.1903,0.020448447,-37828,-0.2,-3.69,-0.1739,0.022179208,0.023981965,0.041572988,-0.2,0.011464742,0.0,0.04790066,0.019696559,-0.1,23129,45028,0.12,0.54
2013-12-01,0.92,0.65,0.79,0.77,0.89,0.028276552,0.69,0.75,1.85,0.041572988,0.56,0.043042692,0.2837,0.019696559,-7880,-0.2,3.7,-0.0558,0.013390862,-0.002281626,-0.034418678,-0.2,-0.016241013,-0.1,0.020797991,0.012749854,-0.2,45028,-37828,0.29,0.92
2014-01-01,0.55,0.94,0.9,0.71,0.84,0.015619437,0.99,0.67,-0.03,-0.034418678,0.92,0.025412629,-0.3842,0.012749854,-63483,-0.3,2.5,0.1903,-0.009160062,0.022179208,-0.033981558,-0.2,-0.003389153,-0.1,0.015019312,0.011086961,-0.2,-37828,-7880,0.41,0.55
2014-02-01,0.69,0.52,0.22,0.64,0.56,-0.000466919,0.66,0.7,-0.05,-0.033981558,0.6,0.022590241,0.0036,0.011086961,20363,0.2,-1.23,0.2837,0.018137678,0.013390862,0.04790066,-0.2,-0.016604526,-0.1,-0.000572372,0.005165387,-0.2,-7880,-63483,0.7,0.69
2014-03-01,0.92,0.74,2.43,0.84,1.92,0.097125694,0.85,0.73,1.38,0.04790066,0.78,0.057574366,0.0704,0.005165387,28231,0.4,-1.44,-0.3842,0.033518327,-0.009160062,0.020797991,-0.3,0.012072992,0.2,-0.023693347,-0.010021798,-0.2,-63483,20363,0.56,0.92
2014-04-01,0.67,0.53,1.52,0.8,1.19,0.00684211,0.77,0.78,0.32,0.020797991,1.2,-0.05770349,-0.0721,-0.010021798,-44609,0.4,-4.83,0.0036,-0.033791453,0.018137678,0.015019312,0.2,-0.006604976,0.3,-0.041465986,0.039982293,-0.3,20363,28231,0.92,0.67
2014-05-01,0.46,0.25,0.41,0.43,0.58,-0.050943335,0.52,0.58,-0.45,0.015019312,0.64,-0.020350298,-0.17,0.039982293,11252,-0.1,4.65,0.0704,-0.016954865,0.033518327,-0.000572372,0.4,0.00652316,0.2,-0.00451344,0.041544314,0.2,28231,-44609,0.6,0.46
