,lags,params,mean_squared_error,max_depth,n_estimators
267,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 10, 'n_estimators': 200}",0.009922703731884048,10,200
106,[1 2 3 4 5 6 7],"{'max_depth': 10, 'n_estimators': 150}",0.009929903062157807,10,150
77,[1 2 3 4 5],"{'max_depth': 15, 'n_estimators': 100}",0.009930644347826095,15,100
73,[1 2 3 4 5],"{'max_depth': 10, 'n_estimators': 100}",0.009930644347826095,10,100
172,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 15, 'n_estimators': 50}",0.009933729275362317,15,50
14,[1],"{'max_depth': 15, 'n_estimators': 150}",0.009933733590982288,15,150
10,[1],"{'max_depth': 10, 'n_estimators': 150}",0.009933733590982288,10,150
167,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 5, 'n_estimators': 200}",0.009944452988250188,5,200
168,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 10, 'n_estimators': 50}",0.009946309565217389,10,50
110,[1 2 3 4 5 6 7],"{'max_depth': 15, 'n_estimators': 150}",0.009950596521739128,15,150
265,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 10, 'n_estimators': 100}",0.009967980434782607,10,100
269,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 15, 'n_estimators': 100}",0.009967980434782607,15,100
13,[1],"{'max_depth': 15, 'n_estimators': 100}",0.009975209275362319,15,100
9,[1],"{'max_depth': 10, 'n_estimators': 100}",0.009975209275362319,10,100
101,[1 2 3 4 5 6 7],"{'max_depth': 5, 'n_estimators': 100}",0.009979025943380881,5,100
55,[1 2 3 4],"{'max_depth': 5, 'n_estimators': 200}",0.009982928575817797,5,200
4,[1],"{'max_depth': 5, 'n_estimators': 50}",0.009988280668324401,5,50
204,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 15, 'n_estimators': 50}",0.009992199420289853,15,50
200,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 10, 'n_estimators': 50}",0.009992199420289853,10,50
292,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 5, 'n_estimators': 50}",0.010003382826750899,5,50
103,[1 2 3 4 5 6 7],"{'max_depth': 5, 'n_estimators': 200}",0.010004693163916842,5,200
263,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 5, 'n_estimators': 200}",0.010007943534001806,5,200
186,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 150}",0.01001172244766505,10,150
122,[1 2 3 4 5 6 7 8],"{'max_depth': 10, 'n_estimators': 150}",0.010012483993558769,10,150
126,[1 2 3 4 5 6 7 8],"{'max_depth': 15, 'n_estimators': 150}",0.010012483993558769,15,150
190,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 15, 'n_estimators': 150}",0.01001821475040257,15,150
39,[1 2 3],"{'max_depth': 5, 'n_estimators': 200}",0.010025635698720092,5,200
85,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 100}",0.010026348756414998,5,100
37,[1 2 3],"{'max_depth': 5, 'n_estimators': 100}",0.010029112008330333,5,100
136,[1 2 3 4 5 6 7 8 9],"{'max_depth': 10, 'n_estimators': 50}",0.010032544927536228,10,50
140,[1 2 3 4 5 6 7 8 9],"{'max_depth': 15, 'n_estimators': 50}",0.010032544927536228,15,50
8,[1],"{'max_depth': 10, 'n_estimators': 50}",0.010033074202898546,10,50
12,[1],"{'max_depth': 15, 'n_estimators': 50}",0.010033074202898546,15,50
59,[1 2 3 4],"{'max_depth': 10, 'n_estimators': 200}",0.010034462065217374,10,200
63,[1 2 3 4],"{'max_depth': 15, 'n_estimators': 200}",0.010034462065217374,15,200
262,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 5, 'n_estimators': 150}",0.010043182190026905,5,150
182,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 150}",0.010043230765627076,5,150
84,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 50}",0.010051697838892903,5,50
127,[1 2 3 4 5 6 7 8],"{'max_depth': 15, 'n_estimators': 200}",0.010053298840579702,15,200
183,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 200}",0.01005506202869138,5,200
123,[1 2 3 4 5 6 7 8],"{'max_depth': 10, 'n_estimators': 200}",0.010056606884057965,10,200
121,[1 2 3 4 5 6 7 8],"{'max_depth': 10, 'n_estimators': 100}",0.010058231449275366,10,100
125,[1 2 3 4 5 6 7 8],"{'max_depth': 15, 'n_estimators': 100}",0.010058231449275366,15,100
61,[1 2 3 4],"{'max_depth': 15, 'n_estimators': 100}",0.010069231304347828,15,100
57,[1 2 3 4],"{'max_depth': 10, 'n_estimators': 100}",0.010069231304347828,10,100
102,[1 2 3 4 5 6 7],"{'max_depth': 5, 'n_estimators': 150}",0.0100702042065535,5,150
132,[1 2 3 4 5 6 7 8 9],"{'max_depth': 5, 'n_estimators': 50}",0.010077368245415984,5,50
187,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 200}",0.010077949492753624,10,200
38,[1 2 3],"{'max_depth': 5, 'n_estimators': 150}",0.010081443030008023,5,150
191,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 15, 'n_estimators': 200}",0.010082828007246379,15,200
164,[ 1  2  3  4  5  6  7  8  9 10 11],"{'max_depth': 5, 'n_estimators': 50}",0.010084627902612267,5,50
6,[1],"{'max_depth': 5, 'n_estimators': 150}",0.010085617461597326,5,150
86,[1 2 3 4 5 6],"{'max_depth': 5, 'n_estimators': 150}",0.010097798649659803,5,150
248,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 10, 'n_estimators': 50}",0.010107516521739128,10,50
252,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 15, 'n_estimators': 50}",0.010107516521739128,15,50
5,[1],"{'max_depth': 5, 'n_estimators': 100}",0.010119043585588993,5,100
7,[1],"{'max_depth': 5, 'n_estimators': 200}",0.010137392955310855,5,200
235,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 10, 'n_estimators': 200}",0.010141305871014486,10,200
239,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 15, 'n_estimators': 200}",0.010144415144927532,15,200
328,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 10, 'n_estimators': 50}",0.010156197101449271,10,50
332,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 15, 'n_estimators': 50}",0.010156197101449271,15,50
279,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 5, 'n_estimators': 200}",0.010156197102653,5,200
100,[1 2 3 4 5 6 7],"{'max_depth': 5, 'n_estimators': 50}",0.010157483947770217,5,50
28,[1 2],"{'max_depth': 15, 'n_estimators': 50}",0.010162739710144928,15,50
24,[1 2],"{'max_depth': 10, 'n_estimators': 50}",0.010162739710144928,10,50
143,[1 2 3 4 5 6 7 8 9],"{'max_depth': 15, 'n_estimators': 200}",0.010164299456521725,15,200
139,[1 2 3 4 5 6 7 8 9],"{'max_depth': 10, 'n_estimators': 200}",0.010164299456521725,10,200
234,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 10, 'n_estimators': 150}",0.010167275699838971,10,150
238,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 15, 'n_estimators': 150}",0.010171513945249601,15,150
300,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 15, 'n_estimators': 50}",0.010175113043478257,15,50
296,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 10, 'n_estimators': 50}",0.010175113043478257,10,50
135,[1 2 3 4 5 6 7 8 9],"{'max_depth': 5, 'n_estimators': 200}",0.010177595083605218,5,200
213,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 5, 'n_estimators': 100}",0.010178029576100568,5,100
261,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 5, 'n_estimators': 100}",0.01018505573402867,5,100
43,[1 2 3],"{'max_depth': 10, 'n_estimators': 200}",0.010221479347826083,10,200
47,[1 2 3],"{'max_depth': 15, 'n_estimators': 200}",0.010222504673913039,15,200
260,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],"{'max_depth': 5, 'n_estimators': 50}",0.010223779004509452,5,50
219,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 10, 'n_estimators': 200}",0.010224926195652174,10,200
223,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 15, 'n_estimators': 200}",0.010224926195652174,15,200
278,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 5, 'n_estimators': 150}",0.010230258339358629,5,150
133,[1 2 3 4 5 6 7 8 9],"{'max_depth': 5, 'n_estimators': 100}",0.010235471949545046,5,100
212,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 5, 'n_estimators': 50}",0.010238720055313196,5,50
53,[1 2 3 4],"{'max_depth': 5, 'n_estimators': 100}",0.010239661617148703,5,100
56,[1 2 3 4],"{'max_depth': 10, 'n_estimators': 50}",0.0102516684057971,10,50
60,[1 2 3 4],"{'max_depth': 15, 'n_estimators': 50}",0.0102516684057971,15,50
280,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 10, 'n_estimators': 50}",0.01026117623188406,10,50
284,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 15, 'n_estimators': 50}",0.01026117623188406,15,50
138,[1 2 3 4 5 6 7 8 9],"{'max_depth': 10, 'n_estimators': 150}",0.010266673301127198,10,150
142,[1 2 3 4 5 6 7 8 9],"{'max_depth': 15, 'n_estimators': 150}",0.010266673301127198,15,150
221,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 15, 'n_estimators': 100}",0.01026752710144928,15,100
217,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 10, 'n_estimators': 100}",0.01026752710144928,10,100
46,[1 2 3],"{'max_depth': 15, 'n_estimators': 150}",0.010269686312399351,15,150
42,[1 2 3],"{'max_depth': 10, 'n_estimators': 150}",0.010269686312399351,10,150
218,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 10, 'n_estimators': 150}",0.010294143574879221,10,150
222,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 15, 'n_estimators': 150}",0.010294143574879221,15,150
192,[ 1  2  3  4  5  6  7  8  9 10 11 12 13],"{'max_depth': 3, 'n_estimators': 50}",0.010294274904391958,3,50
181,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 5, 'n_estimators': 100}",0.010301221648702003,5,100
215,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 5, 'n_estimators': 200}",0.01030157337397669,5,200
